State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11
1	0.9820460327177023	0.015674690647784536	1.7718546881753268E-4	0.0	1.1188015414201619E-4	0.0	0.0	0.0	0.0	0.0018945221812576133	9.568883029595774E-5
2	0.003605764975905697	0.9901670089451711	0.003241330204281919	0.0	5.007966904447646E-4	0.0	0.0	0.0	1.170678245622938E-7	0.0024323987040702735	5.2583412301853555E-5
3	0.0016756625654140837	0.11107611144785531	0.8787163619492332	0.0012233938460363663	0.00441786266869834	1.8567523896090515E-4	0.0	2.000929046446666E-4	9.926128696489363E-7	0.0022621659412082854	2.4168082507916585E-4
4	0.0	0.0	5.018592623047448E-4	0.9448228013632717	0.039813211598733585	0.014177969846252683	0.0	1.1808543240209623E-8	1.0997487912697437E-4	5.638119937407939E-4	1.0359248026276153E-5
5	2.5861038500986475E-4	0.004873136627811243	0.0012493389335819902	0.02849199695890078	0.9489090697479392	6.407428673646031E-5	0.0	0.004050397123284092	7.223739637049317E-5	0.011899639553527054	1.3149898683880655E-4
6	0.0	0.0	3.338495417034516E-4	0.05212835797752185	4.179383942585434E-4	0.8319955454278156	0.008491758970616754	0.09422022213571983	0.011661160505968356	7.511670463954547E-4	0.0
7	0.0	0.0	0.0	0.0	0.0	0.008269616486078159	0.9004591312656937	0.06957069334027015	0.021299764652974427	4.0079425498355136E-4	0.0
8	0.0	0.0	1.9477712422824229E-4	0.0	0.014899547814048187	0.06669028666454721	0.05226684014232641	0.8537765203864932	0.009924325495954333	0.0022215902706376293	2.6112101764735687E-5
9	0.0	0.0	3.709444875690535E-5	9.115330796797694E-4	5.141812507618017E-4	0.018781605789178257	0.035950557437336196	0.021163322717608204	0.866049935822084	0.01275243853631489	0.043839330918279976
10	0.015497346380355041	0.08508233708821317	0.0025471617478604763	0.0014083384078542672	0.0431921572414943	5.904813821322289E-4	3.436388961372245E-4	0.002393026791617615	0.0056610269594939725	0.789880021326169	0.05340446377867284
11	0.0013811249535697913	0.0032548402603927527	4.398926192650415E-4	2.460960301525971E-5	9.709907959687836E-4	0.0	0.0	2.2566760892524196E-5	0.036943906069439744	0.09102622083623353	0.8659358481012226
